Series_Title,Released_Year,Keywords,date_details,Certificate
Zootopia,2016,"['sheep', 'allegory', 'lion', 'hippopotamus', 'cartoon', 'villain', 'bullying', 'polar bear', 'con artist', 'anthropomorphism', 'revenge', 'conspiracy', 'urban', 'female protagonist', 'rookie cop', 'missing person', 'fable', 'racial prejudice', 'injustice', 'reconciliation', 'female villain', 'buddy cop', 'stereotype', 'cartoon rabbit', 'villain arrested', 'discrimination', 'cartoon bear', 'cartoon animal', 'cartoon fox', 'cartoon elephant', 'admiring', 'cheerful', 'farcical']",2016-02-11,PG
Bãhubali: The Beginning,2015,"['kingdom', 'medieval india', 'ancient india', 'bilingual']",2015-07-10,NR
Kaguyahime no monogatari,2013,"['princess', 'historical', 'japanese woman', 'based on fairy tale', 'japanese folklore', 'bamboo', 'anime', 'fantasy', 'kaguya', 'approving', 'princesa']",2013-11-23,PG
Wonder,2017,"['exclusion', 'bullying', 'coney island', 'prejudice', 'school', ""based on children's book"", 'family', 'physical disability', 'treacher collins syndrome', 'relaxed', 'melodramatic']",2017-11-13,PG
Gully Boy,2019,"['rap music', 'slum', 'rapper', 'ghetto', 'mumbai (bombay), india', 'poverty', 'rapper wannabe', 'inspirational']",2019-02-14,12A
Special Chabbis,2013,"['heist', 'con artist', 'theft']",2013-02-07,NR
Short Term 12,2013,"['child abuse', 'parent child relationship', 'suicide attempt', 'social worker', 'pregnancy', 'parole', 'incest', 'foster child', 'troubled teen', 'foster care', 'group home', 'care home', 'based on short']",2013-03-10,R
Serbuan maut 2: Berandal,2014,"['prison', 'martial arts', 'police', 'undercover', 'fight', 'gangster', 'gore', 'mafia', 'combat', 'crime family', 'silat', 'outnumbered', 'awestruck', 'indonesian action', 'mafia family']",2014-01-21,R
The Imitation Game,2014,"['england', 'homophobia', 'world war ii', 'mathematician', 'genius', 'biography', 'male homosexuality', 'code breaking', 'lgbt', 'logician', 'cryptography', 'math genius', 'gay theme', 'codes', 'amused', 'assertive', 'commanding']",2014-08-29,PG-13
Guardians of the Galaxy,2014,"['spacecraft', 'based on comic', 'space', 'orphan', 'adventurer', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']",2014-07-30,PG-13
Blade Runner 2049,2017,"['future', 'android', 'bounty hunter', 'artificial intelligence (a.i.)', 'genetics', 'dystopia', 'sequel', 'cyberpunk', 'los angeles, california', 'las vegas', 'tech noir', 'meditative', 'human clone', 'blade runner', '2040s', 'cautionary', 'audacious', 'compassionate']",2017-10-03,R
Her,2013,"['future', 'artificial intelligence (a.i.)', 'computer', 'satire', 'love', 'loneliness', 'transhumanism', 'los angeles, california', 'heartbreak', 'semi autobiographical', 'speculative', 'singularity', 'near future', 'serene', 'intimate', 'provocative', 'dramatic', 'comforting', 'melodramatic', 'operating system']",2013-10-12,R
Bohemian Rhapsody,2018,"['london, england', 'aids', 'musician', '1970s', 'biography', 'based on true story', 'singer', 'hiv', 'male homosexuality', 'fame', 'rock band', 'lgbt', '1980s', 'wonder', 'gay theme']",2018-10-23,PG-13
The Revenant,2015,"['rape', 'based on novel or book', 'parent child relationship', 'winter', 'child murder', 'mountain', 'grizzly bear', 'animal attack', 'wilderness', 'gore', 'native american', 'forest', 'based on true story', 'liar', 'fur trapping', 'frontier', 'remake', 'revenge', 'survival', 'murder', 'bear', 'snow', 'scalping', 'animals', 'nature', 'wild west', 'bear attack', 'indian attack', 'dead horse', 'starvation', '19th century', 'grim', 'wolves', 'ice']",2015-12-16,R
The Perks of Being a Wallflower,2012,"['school friend', 'depression', 'high school', 'friendship', 'based on novel or book', 'trauma', 'coming of age', 'freshman', 'school', 'teenage boy', 'high school student', 'first love', 'aunt nephew relationship', 'lgbt', 'mental health', 'lgbt teen', 'pittsburgh, pennsylvania', 'candid', 'thoughtful', '1990s', 'based on young adult novel', 'gay theme', ""boys' love (bl)"", 'teenager', 'reminiscent', 'admiring', 'amused', 'appreciative']",2012-09-08,PG-13
Tropa de Elite 2: O Inimigo Agora é Outro,2010,"['police', 'drug trafficking', 'affectation', 'grave', 'penitentiary', 'melancholy', 'jail', 'torture', 'execution', 'drugs', 'criminal', 'nostalgic', 'taunting', 'duringcreditsstinger', 'hard', 'meditative', 'angry', 'aggressive', 'zealous', 'candid', 'malicious', 'cautionary', 'clinical', 'inspirational', 'intimate', 'provocative', 'absurd', 'dramatic', 'whimsical', 'admiring', 'adoring', 'ambiguous', 'ambivalent', 'antagonistic', 'appreciative', 'approving', 'arrogant', 'assertive', 'awestruck', 'callous', 'celebratory', 'commanding', 'earnest', 'empathetic', 'enchant', 'enraged', 'exuberant', 'familiar', 'informative', 'matter of fact', 'melodramatic', 'sarcastic', 'tragic', 'vibrant']",2010-10-08,18
The King's Speech,2010,"['great britain', 'marriage', 'stutter', 'monarchy', 'palace', 'radio', 'radio transmission', 'royal family', 'based on true story', 'death of father', 'speech', 'royalty', 'historical fiction', '1930s', 'british royal family', 'british monarchy', 'winston churchill', 'speech therapy', 'corgi', 'dignified']",2010-09-06,R
The Help,2011,"['based on novel or book', 'mississippi river', 'exploitation', 'racial segregation', 'racism', 'writer', 'maid', 'moral courage', 'ressentiment', 'southern belle', 'racial issues', '1960s', 'newspaper columnist', 'desperate', 'cautionary', 'authoritarian']",2011-08-09,PG-13
Deadpool,2016,"['superhero', 'anti hero', 'mercenary', 'based on comic', 'aftercreditsstinger', 'duringcreditsstinger']",2016-02-08,R
Darbareye Elly,2009,"['sea', 'judge', 'fiancé', 'vacation', 'volleyball', 'middle class', 'purse', 'friends', 'disappearance', 'iran', 'guilt', 'beach house', 'bitterness', 'taraneh alidoosti', 'golshifteh farahani', 'shahab hosseini', 'asghar farhadi']",2009-02-07,NR
Dev.D,2009,"['drug addiction', 'tragic love']",2009-02-06,R18+
Yip Man,2008,,,
My Name Is Khan,2010,"['autism', 'mumbai (bombay), india', 'based on true story', 'prejudice', 'religion', 'disability', ""asperger's syndrome"", 'asian american']",2010-02-10,PG-13
Nefes: Vatan Sagolsun,2009,"['guerrilla warfare', 'ambush', 'turkey', 'snow', 'turkish army', 'pkk terror', 'defense']",2009-10-15,
Slumdog Millionaire,2008,"['based on novel or book', 'slum', 'cheating', 'suspicion', 'mumbai (bombay), india', 'game show', 'quiz', 'orphan', 'duringcreditsstinger', 'taj mahal, india', 'defiant']",2008-08-30,R
Black Swan,2010,"['new york city', 'dancing', 'dancer', 'nightmare', 'competition', 'obsession', 'insanity', 'paranoia', 'hallucination', 'ballet dancer', 'ballet', 'female protagonist', 'psychological thriller', 'fear', 'heartbreak', 'mental illness', 'madness', 'reality vs fantasy', 'swan lake', 'ballerina', 'stage performance', 'mysterious', 'aggressive', 'self-harm', 'complex', 'mother daughter relationship', 'self destructiveness', 'theater', 'provocative', 'suspenseful', 'intense', 'pointe shoes', 'ambiguous', 'antagonistic', 'distressing', 'exhilarated', 'frightened']",2010-09-01,R
Tropa de Elite,2007,"['drug dealer', 'police brutality', 'slum', 'war on drugs', 'drug trafficking', 'rio de janeiro', 'torturing police', 'special forces', 'law enforcement', 'angry', 'hostile', 'aggressive', 'loving', 'intense', 'bitter', 'admiring', 'awestruck', 'commanding', 'complicated', 'dignified', 'excited', 'exhilarated', 'ominous', 'sincere']",2007-10-12,R
The Avengers,2012,"['new york city', 'superhero', 'shield', 'based on comic', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']",2012-04-25,PG-13
Persepolis,2007,"['puberty', 'civil war', 'parent child relationship', '1970s', 'totalitarian regime', 'punk rock', 'bomb alarm', 'coming of age', 'orient', 'adult animation', 'punk band', 'woman director', 'iranian revolution', 'pathetic']",2007-05-23,PG-13
Dallas Buyers Club,2013,"['aids', 'homophobia', 'rodeo', 'texas', 'biography', 'dallas texas', 'based on true story', 'hiv', 'drugs', 'lgbt', 'treatment', '1980s', 'trans woman', 'inspirational', 'intense', 'informative']",2013-09-07,R
The Pursuit of Happyness,2006,"['work', 'worker', 'homeless person', 'single parent', 'san francisco, california', 'bus', 'homelessness', 'church service', 'bad luck', 'biography', 'based on true story', 'salesman', 'stockbroker', 'single father', 'inspiring story', 'poor', 'working life', 'happiness', 'optimistic', 'powerful']",2006-12-14,PG-13
Blood Diamond,2006,"['bootlegger', 'journalist', 'smuggling (contraband)', 'loss of loved one', 'africa', 'rwandan genocide', 'rebel', 'journalism', 'slavery', 'fisherman', 'mercenary', 'diamond mine', 'sierra leone', 'special unit', 'oppression', 'macabre', '1990s', 'private military company', 'inspirational', 'sinister', 'set in africa']",2006-12-06,R
The Bourne Ultimatum,2007,"['assassin', 'central intelligence agency (cia)', 'corruption', 'paris, france', 'based on novel or book', 'madrid, spain', 'espionage', 'prosecution', 'fake identity', 'revelation', 'europe', 'interpol', 'sequel', 'flashback', 'on the run', 'conspiracy', 'shootout', 'motorcycle', 'foot chase', 'dark past', 'langley virginia', 'moscow, russia', 'frantic', 'action hero', 'security leak', 'investigative reporter', 'jason bourne', 'furious', 'intense']",2007-07-25,PG-13
Bin-jip,2004,"['prison', 'jealousy', 'husband wife relationship', ""love of one's life"", 'love triangle', 'mannequin', 'burglar', 'violent husband', 'golf']",2004-09-07,R
Sin City,2005,"['dystopia', 'based on comic', 'anthology', 'black and white', 'held captive', 'based on graphic novel', 'mysterious killer', 'doing the right thing', 'silhouette', 'neo-noir']",2005-03-28,R
Le scaphandre et le papillon,2007,"['dying and death', 'based on novel or book', 'writing', 'female lover', 'editor-in-chief', 'psychological stress', 'patient', 'disabled']",2007-05-22,PG-13
G.O.R.A.,2004,"['prison', 'spacecraft', 'turkey', 'space race', 'running away']",2004-11-12,PG-13
Ratatouille,2007,"['work', 'sibling relationship', 'paris, france', 'expensive restaurant', 'river', 'confidence', 'cooking', 'evacuation', 'mouse', ""leaving one's family"", 'restaurant', 'villain', 'restaurant critic', 'spice', 'cookbook', 'food', 'chef', 'sewer', 'unlikely friendship', 'french restaurant', 'rat', 'french cuisine', 'fine dining']",2007-06-22,G
Casino Royale,2006,"['banker', 'casino', 'based on novel or book', 'poker', 'italy', 'spy', 'money', 'torture', 'terrorism', 'mi6', 'british secret service', 'montenegro', 'serious', 'dramatic', 'thriller', 'intense', 'action', 'adventure', 'bold', 'tragic']",2006-11-14,PG-13
Kill Bill: Vol. 2,2004,"['daughter', 'martial arts', 'kung fu', 'showdown', 'right and justice', 'rage and hate', 'sibling relationship', 'swordplay', 'katana', 'mother role', 'single', 'sword fight', 'revenge', 'vigilante', 'retribution', 'aftercreditsstinger', 'duringcreditsstinger', 'reflective', 'kill bill']",2004-04-08,R
Vozvrashchenie,2003,"['brother', 'abusive father', 'relationship problems', 'road trip', 'troubled teen', 'father son reunion', 'troubled past', 'troubled youth', 'father son relationship', 'roadtrip', 'dysfunctional father-son relationship']",2003-06-25,TP
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,"['dying and death', 'life and death', 'countryside', 'temple', 'isolation', 'buddhism', 'buddhist monk', 'becoming an adult', 'mountain lake', 'meditation', 'attachment to nature', 'religious education', 'season', 'cycle', 'penalty', 'mortification', 'restart', 'taskmaster', 'philosophy', 'kids', 'contemplative cinema']",2003-08-14,15
Mar adentro,2014,"['swimming', 'short film']",2014-09-08,
Cinderella Man,2005,"['daughter', 'transporter', 'sports', 'world cup', 'irish-american', 'socially deprived family', 'boxer', ""family's daily life"", 'affectation', 'netherlands', 'comeback', 'defeat', 'training', 'heavy weight', 'folk hero', 'biography', 'boxing']",2005-06-02,PG-13
Kal Ho Naa Ho,2003,"['new york city', 'musical']",2003-11-27,PG
Mou gaan dou,2002,"['undercover agent', 'undercover', 'hong kong']",2002-12-09,R
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"['blacksmith', 'gold', 'exotic island', 'governor', 'skeleton', 'jamaica', 'british empire', 'pirate', 'swashbuckler', '18th century', 'caribbean sea', 'aftercreditsstinger', 'pirate ship', 'british navy', 'tortuga', 'based on theme park ride', 'hilarious', 'enthusiastic', 'euphoric']",2003-06-28,PG-13
Big Fish,2003,"['witch', 'fish', ""love of one's life"", 'parent child relationship', 'circus', 'fishing', 'leech', 'story teller', 'fair', 'mermaid', 'apoplectic stroke', 'cancer', 'relationship', 'gentle giant', 'magic realism', 'reflective', 'witty', 'whimsical']",2003-12-10,PG-13
The Incredibles,2004,"['hero', 'secret identity', 'superhero', 'villain', 'family relationships', 'super power', 'supervillain', '1950s', '1960s', 'superhero family']",2004-10-24,PG
Yeopgijeogin geunyeo,2001,"['subway', 'based on memoir or autobiography', 'stranger', 'boyfriend girlfriend relationship', 'drunkenness']",2001-07-27,G
Dogville,2003,"['friendship', 'bondage', 'rape', 'police', 'gangster', 'village life', 'refugee', 'blackmail', 'mountain', 'american dream', 'bank robber', 'last judgment', 'mountain village', 'exploitation', 'rocky mountains', 'woman martyr', 'physical work', 'wanted poster', 'forced labour', 'slavery', 'recession', 'art house', 'hoodlum', 'experimental film', 'avant garde film', 'art house film']",2003-05-19,R
Vizontele,2001,[],2001-02-02,U
Donnie Darko,2001,"['high school', 'airplane', 'parent child relationship', 'presidential election', 'therapist', 'school performance', 'halloween', 'time travel', 'vandalism', 'surrealism', 'loss', 'imaginary friend', 'suburbia', 'arson', 'vision', 'school', 'mental illness', 'virginia', 'sleepwalking', '1980s', 'parallel universe', 'complicated']",2001-01-19,R
Magnolia,1999,"['dying and death', 'daughter', 'farewell', 'regret', 'unsociability', 'chance', 'becoming an adult', 'parent child relationship', 'suicide attempt', 'loss of loved one', 'child prodigy', 'reconciliation', 'san fernando valley', 'multiple storylines', 'frog', 'bewildered']",1999-12-08,R
Dancer in the Dark,2000,"['factory worker', 'individual', 'immigrant', 'blindness and impaired vision', 'dancing', 'eye operation', 'small town', 'naivety', 'hereditary disease', 'robbery', 'court', 'musical', 'female friendship', 'murder', 'debt', 'police officer', 'trailer', 'daydreaming', 'mother son relationship']",2000-05-17,R
The Straight Story,1999,"['sibling relationship', 'mississippi river', 'wisconsin', 'lawnmower', 'iowa', 'biography', 'based on true story', 'road trip', 'family relationships', 'family', 'journey', 'elderly man', 'brother brother relationship', 'personal journey', 'transformative journey']",1999-05-21,G
Pâfekuto burû,1997,"['career', 'paranoia', 'stalker', 'celebrity', 'singer', 'fame', 'female protagonist', 'psychological thriller', 'mental illness', 'madness', 'split personality', 'adult animation', 'j-pop', 'celebrity worship', 'anime', 'aspiring actress', 'cautionary', 'psychological', 'suspense', 'avant garde', 'suspenseful', 'horror', 'ambiguous', 'audacious', 'baffled']",1997-07-11,R
Festen,1998,"['daughter', 'depression', 'infidelity', 'child abuse', 'suicide', 'parent child relationship', 'birthday', 'country house', 'twin sister', 'trauma', 'racism', 'family reunion', 'denial', 'lecture', 'death of sister', 'drunkenness', 'dinner party', 'angry', 'kids', 'child sexual abuse', 'dramatic', 'dogme 95', 'intense', 'depressing']",1998-05-20,R
Central do Brasil,1998,"['rio de janeiro', 'letter', 'wilderness', 'teacher', 'orphan', 'railroad', 'alcoholic', 'missing parent', 'long lost relative', 'realism', 'child trafficking', 'death of parent', 'road movie', 'bus station', 'lost child', 'unwanted child', 'truck stop', 'woman and child', 'lonely woman', 'train station', 'letter writer']",1998-01-16,6
The Iron Giant,1999,"['friendship', 'small town', 'based on novel or book', 'self sacrifice', 'cold war', 'villain', 'alien', 'meteorite', 'giant robot', 'autumn', 'fear of unknown', '1950s', 'mother son relationship', 'awestruck', 'euphoric', 'hopeful']",1999-07-31,PG
